GEO_ID,Division,Population,Male(%),Female(%),Median_age,Hispanic+Latino(%),White(%),Black(%),Amr_Indian+Alaska(%),Asian(%),Hawaiian(%),Other_race(%),More_races(%),Housing_units,Household_Median_Income (dollar) ,<9th_grade(%) ,High_school_or_higher(%),Bachelor_or_higher(%),Population_(16yr<),In_labor_force(%),Household_with_children (6~ 17yr),All_parents_in_labor_force_with_child(6~17yr)(%),Workers (16yr<),Mean_Commuting_time (minutes),With_health_insurance(%),Private_health_insurance(%),With_public_coverage(%),Num_Households,computing_devices>=1(%),Internet_access(%)
0500000US51001,Accomack County,33388,0.49,0.51,47,9.1,59.7,28.5,0.2,0.8,0,0.1,1.6,21661,50601,5.94,82,21,"27,325",55.4,"4,297",78.1,"14,104",22.1,87.7,59.6,46.1,14152,84.03,77.46
0500000US51003,Albemarle County,111438,0.48,0.52,39,5.9,76.4,8.7,0.3,5.5,0.1,0.2,3,46661,90568,2.21,93,59,"91,542",62.2,"15,018",78.2,"53,991",21.9,94.3,82.2,26.7,43066,95.13,89.55
0500000US51005,Alleghany County,15266,0.49,0.51,48,1.6,91.2,5.5,0,0,0,0.3,1.4,7948,49705,3.69,89,15,"12,720",51.8,"1,972",63.5,"6,270",24.1,93.3,63.9,43.8,6405,85.45,76.71
0500000US51007,Amelia County,13220,0.49,0.51,45,3.3,73.3,22,0,0,0,0,1.3,5675,57420,6.6,85,18,"10,745",62.7,"2,022",60.6,"6,187",38.1,92.2,72.4,35,5190,85.32,77.59
0500000US51009,Amherst County,31381,0.48,0.52,45,2.6,74.2,18.5,0.8,0.7,0.1,0.8,2.3,14229,60876,4.04,88,22,"25,876",61.3,"3,813",83.4,"14,718",28.3,91.1,69.5,35.6,12538,87.33,78.27
0500000US51011,Appomattox County,16039,0.48,0.52,43,2,76.5,18.1,0,0.2,0,1.1,2,7261,55268,4.08,89,20,"12,956",60.5,"2,286",67.1,"7,386",25.3,91,66.2,41.2,6187,88.35,76.84
0500000US51013,Arlington County,235764,0.5,0.5,35,15.5,60.2,9.1,0.2,10.2,0,0.5,4.3,117546,128145,3.36,95,76,"196,986",78.6,"26,725",76,"148,211",28.4,94,87.7,15.6,109528,96.65,93.56
0500000US51015,Augusta County,76948,0.51,0.49,45,3.2,89.6,4.3,0.2,0.6,0.1,0.3,1.7,32502,69082,3.66,89,23,"64,039",59.4,"9,598",78.9,"36,339",25,91.9,73,35.4,29880,89.8,82.18
0500000US51017,Bath County,4243,0.51,0.49,51,0.4,95.2,3.7,0.4,0.3,0,0,0,3349,55807,7.5,85,19, N/A , N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,1823,83.43,75.75
0500000US51019,Bedford County,79183,0.49,0.51,47,2.5,86.8,6.2,0.1,1.2,0,0.4,2.9,37207,70870,2.43,92,31,"65,418",58.7,"10,251",71,"36,552",26.4,93.5,76.6,34.5,32269,92.08,83.83
0500000US51021,Bland County,6278,0.57,0.43,46,0.9,93.5,4.5,0,0.1,0,0,1,3204,54556,3.14,89,13,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2260,78.05,63.36
0500000US51023,Botetourt County,33542,0.5,0.5,47,1.9,91.8,2.6,0.2,0.5,0.2,0,2.7,14867,72941,2.63,94,27,"27,915",60.6,"4,561",75.5,"15,842",26.2,94.5,77.6,32.6,13076,88.48,83.79
0500000US51025,Brunswick County,16044,0.54,0.46,43,1.6,40.7,55,0.2,0,0,0,2.5,7944,49597,5.63,78,16,"13,723",49.6,"1,669",74.5,"6,124",31.7,94.3,63.5,46.5,5905,84.81,78.14
0500000US51027,Buchanan County,20615,0.5,0.5,48,0.9,94.4,2.3,0.8,0.1,0,0.2,1.2,10475,37093,10.53,74,11,"17,691",37.6,"2,156",57.3,"6,155",27.7,91.7,46.9,58.9,7440,79.74,70.59
0500000US51029,Buckingham County,16832,0.55,0.45,43,2.5,61.2,32.6,0.5,0,0,0.2,2.9,7178,49841,8.54,81,12,"14,074",49,"1,806",72.4,"6,189",39.3,88.2,58.2,43.5,5724,80.96,66.02
0500000US51031,Campbell County,55656,0.49,0.51,43,2.9,78.3,14.2,0.2,0.9,0,0.5,2.9,25159,53918,3.78,89,24,"45,702",59.8,"7,215",71.1,"25,585",24,92,68.7,36.9,22243,88.73,78.52
0500000US51033,Caroline County,30861,0.5,0.5,40,5.5,63.1,25.5,0.4,1,0,0.7,3.9,12373,76528,3.43,89,22,"24,587",67.5,"4,203",68,"15,635",34.3,93.2,75.5,32.4,11000,93.39,82.75
0500000US51035,Carroll County,29123,0.51,0.49,48,4,93.8,0.4,0.1,0,0,0,1.7,16616,45220,8.67,82,15,"24,494",53.9,"3,318",71.5,"12,226",26.9,90.2,60.6,45.8,12127,81.83,75.71
0500000US51036,Charles city County,6817,0.5,0.5,51,2.1,43.1,44.2,5.9,0.3,0,0.1,4.3,3261,59543,3.98,83,16,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2932,82.81,67.94
0500000US51037,Charlotte County,11605,0.51,0.49,47,2.4,68,26.7,0,0.4,0,0,2.4,6003,45567,4.97,84,15,"9,274",53,"1,641",72.6,"4,571",31,89.8,58.7,45.7,4606,77.64,69.56
0500000US51041,Chesterfield County,359798,0.48,0.52,39,9.5,60,22.9,0.2,3.3,0.1,0.4,3.6,136775,88315,3.14,93,41,"284,357",68.1,"55,870",76.7,"181,447",26.4,92.5,78,28.3,131350,96.38,92.32
0500000US51043,Clarke County,14726,0.5,0.5,48,6.2,85,4.8,0,1.5,0,0.3,2.2,6341,86633,2.49,92,35,"12,296",62,"1,994",76.6,"7,237",35.9,92.1,80.3,28.1,5692,94.69,85.38
0500000US51045,Craig County,4914,0.48,0.52,49,0,96.2,0,0,0,0,0,3.8,2623,60283,3.98,89,21,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,1941,94.59,87.53
0500000US51047,Culpeper County,52021,0.5,0.5,39,11.9,68.5,12.9,0.3,0.9,0.1,0.4,5,19020,85274,3.86,89,27,"40,924",65.5,"7,908",68,"25,297",37.1,90.9,71.3,31.9,17692,93.62,89.35
0500000US51049,Cumberland County,9669,0.5,0.5,45,1.2,63.5,30,0.1,0.8,0,0,4.5,4638,57568,4.83,88,17,"8,106",64.2,"1,385",62.3,"4,912",38.8,90.5,70.8,34.6,3990,86.52,75.76
0500000US51051,Dickenson County,14256,0.51,0.49,45,1,97.4,0.8,0.1,0.1,0,0,0.4,7382,33905,8.41,80,10,"11,856",37.7,"1,904",54.7,"4,227",27.1,93,52.3,57.1,5573,81.45,72.71
0500000US51053,Dinwiddie County,28040,0.5,0.5,43,3.8,62.2,31.5,0,0.8,0.1,0.5,1.3,11775,68918,3.8,89,18,"22,910",61.4,"3,666",79.4,"12,998",31.1,93.9,73.4,35.9,10268,89.61,79.23
0500000US51057,Essex County,10621,0.46,0.54,47,4,54.1,38.2,0,0.6,0,0.1,3.1,5744,54375,4.95,85,16,"8,881",56.2,"1,269",81.6,"4,371",36.4,89.9,57.6,51.8,4299,84.39,69.62
0500000US51059,Fairfax County,1170805,0.99,1.01,76,34.1,103.9,14.9,0.1,38.3,0.1,0.8,7.8,434588,252466,6.76,186,125,925748,143.7,180517,152.9,624580,60.9,185.5,166.2,41.9,417763,196.37,191.44
0500000US51061,Fauquier County,72416,0.5,0.5,41,9.2,78.6,6.8,0.3,1.6,0,0.2,3.2,27966,111368,2.74,93,38,"57,539",66.9,"11,573",69.4,"36,740",38.7,92.3,81.8,24.2,25472,94.96,90.89
0500000US51063,Floyd County,15536,0.49,0.51,48,2.9,92.9,2.8,0.1,0.4,0,0.2,0.6,7933,51612,4.14,90,21,"12,960",61,"2,157",79.3,"7,590",33.5,92.9,71.3,35.8,6695,83.29,76.76
0500000US51065,Fluvanna County,27078,0.47,0.53,43,3.8,76.9,14.4,0.1,0.8,0.1,0.6,3.4,11061,82983,1.45,93,36,"22,257",61,"3,706",78.1,"12,986",32.7,92,77.9,29.6,9979,94.11,89.61
0500000US51067,Franklin County,54829,0.49,0.51,48,2.9,86.9,7.7,0.2,0.7,0,0,1.6,28339,59667,4.15,89,23,"45,906",53.4,"6,757",63.1,"23,337",31,90.7,65.1,42.2,22033,86.87,79.57
0500000US51069,Frederick County,90287,0.5,0.5,40,9.5,81.8,3.9,0.1,1.6,0.1,0.2,2.8,35335,84317,4.8,88,28,"72,182",63.7,"13,750",73.9,"43,380",33.2,91.6,74.4,30.9,32723,91.05,85.5
0500000US51071,Giles County,16764,0.49,0.51,45,1.8,94.4,1.9,0,0,0.4,0,1.6,8312,57911,3.68,90,19,"13,723",57,"2,056",73.1,"7,595",28.4,91.5,68.8,36.2,6824,85.04,79.09
0500000US51073,Gloucester County,38586,0.5,0.5,45,3.9,83.6,8.5,0,0.7,0,0.2,3,16952,77733,3.12,89,25,"31,592",62.4,"5,294",76.6,"18,657",35,94.3,75.8,33.9,14882,91.77,85.75
0500000US51075,Goochland County,24300,0.5,0.5,49,3.1,77.3,15.2,0,1.7,0,0.1,2.5,10321,100517,2.38,94,46,"20,575",57.1,"2,939",61.9,"11,090",30.2,96.1,83.6,30.5,9454,93.52,88.13
0500000US51077,Grayson County,15418,0.51,0.49,48,3.7,89.1,4.7,0.1,1.8,0,0,0.6,8956,43022,6.23,83,16,"13,077",50.1,"1,562",77.1,"6,040",25.5,86.8,57.1,44.6,6112,84.15,75.74
0500000US51079,Greene County,20374,0.48,0.52,40,6.3,80.3,6.2,0.2,2.1,0.1,1.4,3.4,8420,73844,3.92,88,29,"16,177",67.8,"3,349",76.3,"10,168",32.4,91.8,73.4,33.1,7533,94.6,87.65
0500000US51081,Greensville County,11465,0.63,0.37,40,2.6,36,54.5,0.1,0.1,0,0.1,6.7,4029,53063,6.38,77,11,"9,894",40,"1,101",61.9,"3,572",23.1,89.4,58.2,48,3183,86.8,78.86
0500000US51083,Halifax County,34228,0.48,0.52,46,2.3,59.6,35,0.1,0.2,0,0,2.9,17387,45962,7.24,83,16,"28,149",51.8,"4,622",70.4,"13,534",24.6,92.2,59.2,49.3,13506,72.33,63.64
0500000US51085,Hanover County,109232,0.49,0.51,42,3.2,82.7,8.4,0.2,1.7,0,0.3,3.4,42692,96911,2.1,94,41,"88,340",67.2,"16,716",80.4,"56,652",26.9,95.1,82.1,27.1,40310,94.8,89.84
0500000US51087,Henrico County,331924,0.48,0.52,39,6,51.5,29.4,0.1,9.2,0,0.4,3.4,139826,76345,2.87,93,45,"264,815",69.2,"49,652",77.5,"171,941",22.5,93.1,76.7,28.6,132465,94.08,89.64
0500000US51089,Henry County,51077,0.48,0.52,48,5.9,69.1,22.7,0,0.6,0,0.2,1.6,25545,41103,7.57,81,15,"42,064",51.6,"6,534",74.8,"19,666",24.6,91.1,52.6,52,20516,81.87,72.72
0500000US51091,Highland County,2229,0.47,0.53,57,0,92.3,0,0,3.1,0,0,4.6,1800,52901,3.2,92,28,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,987,81.97,76.09
0500000US51093,Isle of Wight County,38301,0.5,0.5,44,3.8,69.8,22.2,0.1,0.9,0,0.1,3.1,16304,84673,2.21,91,29,"31,218",65,"5,525",84.2,"18,553",30,93.7,78.7,31.4,15063,90.44,82.12
0500000US51097,King and Queen County,6690,0.53,0.47,48,3.5,66,24.2,0.3,0,0,1.1,4.9,3452,61672,2.94,88,21,  N/A , N/A, N/A, N/A, N/A, N/A, N/A,N/A,N/A,2803,84.8,68.32
0500000US51099,King George County,26597,0.51,0.49,38,6,71.4,16.5,0.1,1.2,0,1.2,3.7,10248,101599,2.78,92,35,"20,673",68.4,"4,567",69.1,"13,509",35.1,95.3,82.5,28,9445,95.38,90.16
0500000US51101,King William County,17511,0.5,0.5,41,2.9,77.2,15.1,0.9,1.4,0.1,0,2.4,7304,74592,2.18,93,25,"13,930",68.2,"2,536",82.3,"9,199",38.2,94.6,80.2,29.7,6667,92.35,75.01
0500000US51103,Lancaster County,10916,0.48,0.52,57,1,67.1,29.1,0,0.9,0,0,2,7454,64460,3.55,90,33,"9,455",47.7,"1,231",67.2,"3,954",29.1,92.2,70,49.3,5197,80.03,73.77
0500000US51105,Lee County,22482,0.53,0.47,46,2,92.9,3.7,0.1,0.3,0,0,1,10947,37574,9.49,80,11,"18,937",41.6,"2,372",68.5,"6,845",27.3,89.2,48.3,56.2,8244,81.56,56.66
0500000US51107,Loudoun County,413574,0.5,0.5,37,13.7,54.1,7.3,0.2,19.9,0.1,0.5,4.1,139439,156821,2.95,94,63,"311,655",74.6,"78,030",74.7,"220,693",33.1,94.5,87.5,15.1,135690,98.24,96.29
0500000US51109,Louisa County,37136,0.5,0.5,45,3.3,76.8,13.7,0.2,0.5,0,0.1,5.3,17409,70974,3.67,89,26,"30,428",60.7,"4,428",75.6,"16,900",35.3,92.2,69.1,38.9,14192,92.69,83
0500000US51111,Lunenburg County,11982,0.53,0.47,44,5.5,58.6,33.3,0,0.4,0,0,2.2,5880,47269,6.6,80,12,"9,793",50,"1,395",71.8,"4,553",32.6,90.5,63,45.7,4304,66.64,59.29
0500000US51113,Madison County,13731,0.49,0.51,47,3.1,84.7,7.4,0,0.8,0,0.1,3.9,6036,72349,4.1,88,25,"11,260",60.4,"1,782",78,"6,386",28.7,94.2,68.3,39.6,5175,91.73,81.1
0500000US51115,Mathews County,8548,0.49,0.51,53,2.9,84.6,9.3,0,0,0,0,3.1,5502,73229,2.13,93,30,"7,484",49,830,72.8,"3,296",38.7,89.8,66.5,45.1,3558,88.36,72.48
0500000US51117,Mecklenburg County,30347,0.5,0.5,48,3,60.3,33.9,0.4,0.9,0,0,1.4,19003,46378,5.36,86,22,"25,303",51.5,"3,605",70.4,"12,292",24.9,91.8,65.5,45.3,12655,76.79,68.83
0500000US51119,Middlesex County,10686,0.51,0.49,55,3,77.8,14.6,0.2,1.4,0.1,1.3,1.6,7125,63782,4.56,88,27,"9,206",53.3,"1,068",67.5,"4,507",29.3,93.4,67.5,51.3,4579,85.78,71.92
0500000US51121,Montgomery County,99294,0.52,0.48,30,3.5,83.3,4.1,0.3,6.5,0.2,0.3,1.9,41085,60666,1.51,94,46,"85,706",55.1,"10,064",71.8,"44,417",18.1,94.1,79.9,24.4,35533,94.82,90.01
0500000US51125,Nelson County,14795,0.5,0.5,52,4.5,81,12.3,0,0.2,0,0.4,1.5,9902,67707,4.39,84,30,"12,458",57.3,"1,686",72.6,"6,521",31.7,91.8,65.5,44,6149,88.99,74.78
0500000US51127,New Kent County,22519,0.51,0.49,42,3.8,77.6,12.7,0.8,1,0,0,4.1,8919,101628,1.45,93,33,"18,505",64.9,"3,154",81.5,"11,439",32.2,95.6,85.4,24.4,8306,93.9,85.36
0500000US51131,Northampton County,12226,0.48,0.52,51,9.3,54.9,31.9,0,1.1,0,0,2.9,7364,50347,6.1,86,28,"10,118",51.8,"1,372",80.1,"4,837",24.3,89.2,62.9,46.4,5292,88.78,81.75
0500000US51133,Northumberland County,11965,0.47,0.53,60,3.9,68.3,21.7,0,0.3,0,0,5.8,8986,61291,3.51,90,34,"10,484",42.3,"1,262",74.9,"4,023",35.1,91.8,71.7,51.5,5127,86.23,79.5
